2021-02-08 14-33-45 | Initializing librouter...
2021-02-08 14-33-45 | Getting modules...
2021-02-08 14-33-45 | Loading settings...
2021-02-08 14-33-45 | Loading pairs...
2021-02-08 14-33-45 | Loading filter rules...
2021-02-08 14-33-45 | *** LoadFilterRules: No rules loaded
2021-02-08 14-33-45 | Loading IP exclusions...
2021-02-08 14-33-45 | Setting up user interface...
2021-02-08 14-33-45 | Loading port list...
2021-02-08 14-33-45 | Loading IP range list...
2021-02-08 14-33-45 | Initialization done
2021-02-08 14-33-50 | Starting portscan...
2021-02-08 14-33-53 | Stopping portscan...
2021-02-08 14-33-54 | Closing, saving settings...
2021-02-08 14-33-55 | Normal program termination
